Sorbent;Compound Property;Direct Correlation;Distance Correlation
ACF;arom rings;0.83;0.82
ACF;log D;0.45;0.54
ACF;mol volume;0.36;0.50
ACF;mol weight;0.17;0.38
ACF;pos charge;-0.03;0.32
ACF;neg charge;-0.17;0.24
ACF;water sol;-0.33;0.37
DeACF;arom rings;0.64;0.69
DeACF;mol volume;0.50;0.65
DeACF;mol weight;0.40;0.52
DeACF;log D;0.27;0.47
DeACF;neg charge;0.32;0.18
DeACF;pos charge;-0.38;0.22
DeACF;water sol;-0.26;0.32
OXACF;arom rings;0.62;0.65
OXACF;log D;0.43;0.54
OXACF;mol volume;0.12;0.42
OXACF;pos charge;-0.12;0.17
OXACF;mol weight;-0.05;0.25
OXACF;water sol;-0.15;0.29
OXACF;neg charge;-0.27;0.34
